lead_id,name,headline,bio,linkedin_url,instagram_url,website,follower_count,is_business_account,company_name,company_size,company_industry,location,source,discovered_via_keyword,created_at
,Skin Beauty Med Spa Atlanta | Luxury Skincare Services,Appointment-heavy med spa; strong fit for FAQ chatbot and booking inquiry assistant,,,,https://skinbeauty.skin,,False,Skin Beauty Med Spa Atlanta,,Med spa / skincare,"Atlanta, Georgia",linkedin_company,med spa owner,
,BLUE Cosmetic Surgery & MedSpa,High-intent patient inquiries; fit for AI consultation intake assistant and email sorting,,,,http://bluecosmeticsurgery.com,,False,BLUE Cosmetic Surgery & MedSpa,,Cosmetic surgery / med spa,"Atlanta, Georgia",linkedin_company,med spa owner,
,Dermani Medspa,"Likely frequent questions about memberships, services, pricing, booking, and locations",,,,http://www.dermanimedspa.com,,False,Dermani Medspa,,Med spa,"Atlanta, Georgia",linkedin_company,med spa owner,
,Rejuvenate Restore Med Spa Atlanta,Appointment-based wellness/aesthetic business; fit for FAQ and booking chatbot,,,,https://rejuvenateatlanta.com,,False,Rejuvenate Restore Med Spa Atlanta,,Med spa / wellness,"Atlanta, Georgia",linkedin_company,wellness clinic,
,Skin Suite Med Spa,Small/local appointment business; fit for fixed-price chatbot and lead capture assistant,,,,https://skinsuitemedspa.com/,,False,Skin Suite Med Spa,,Med spa,"Atlanta, Georgia",linkedin_company,spa owner,
,Seabreeze Dental Clinic,"Dental clinic; fit for new patient FAQ assistant, appointment requests, and email triage",,,,http://theatlantadentist.com,,False,Seabreeze Dental Clinic,,Dental clinic,"Atlanta, Georgia",linkedin_company,dental clinic,
,Ben Massell Dental Clinic,Community-facing clinic; fit for patient FAQ bot and intake form automation,,,,http://benmasselldentalclinic.org,,False,Ben Massell Dental Clinic,,Dental clinic,"Atlanta, Georgia",linkedin_company,dental clinic,
,Metropolitan Dental & Medical Clinic Inc,"Medical/dental office; fit for appointment, intake, and routine inquiry automation",,,,http://metropolitandentalclinic.com,,False,Metropolitan Dental & Medical Clinic Inc,,Dental / medical clinic,"Atlanta, Georgia",linkedin_company,dental clinic,
,Sweat Chiropractic Clinic,Appointment-driven chiropractic practice; fit for booking assistant and new patient intake automation,,,,http://www.sweatinstitute.com/,,False,Sweat Chiropractic Clinic,,Chiropractic clinic,"Atlanta, Georgia",linkedin_company,chiropractic clinic,
,Brookhaven Chiropractic Clinic,Local chiropractic clinic; fit for website FAQ assistant and appointment request intake,,,,http://brookhavenchiro.net,,False,Brookhaven Chiropractic Clinic,,Chiropractic clinic,"Atlanta, Georgia",linkedin_company,chiropractic clinic,
