lead_id,name,headline,bio,instagram_url,youtube_url,google_maps_url,website,follower_count,is_business_account,rating,review_count,phone,company_name,company_size,company_industry,location,source,discovered_via_keyword,created_at
,Heather Cox Boutet,Boston Personal Injury Attorney,,https://www.instagram.com/bostonpersonalinjuryattorney/,,,,,True,,,,,,Law - Personal Injury,"Boston, MA",instagram,Personal injury law firms,
,Mitcheson & Lee LLP,Boston Personal Injury Attorneys,,https://www.instagram.com/bostonpersonalinjuryattorneys/,,,,,True,,,,,,Law - Personal Injury,"Boston, MA",instagram,Personal injury law firms,
,Boston Personal Injury Lawyer,,,https://www.instagram.com/bostonpersonalinjurylawyer/,,,,,True,,,,,,Law - Personal Injury,"Boston, MA",instagram,Personal injury law firms,
,Johnson & Fyten Law Offices,Boston Immigration Lawyers,,https://www.instagram.com/bostonimmigrationlawyers/,,,,,True,,,,,,Law - Immigration,"Boston, MA",instagram,Immigration law firms,
,Boston Immigration Lawyer,,,https://www.instagram.com/bostonlawyer8/,,,,,True,,,,,,Law - Immigration,"Boston, MA",instagram,Immigration law firms,
,Gaglini Law Group LLC,,,https://www.instagram.com/bostonlawfirm2020/,,,,,True,,,,,,Law - General Practice,"Boston, MA",instagram,Boston law firms,
,MyBostonLawFirm,,,https://www.instagram.com/mybostonlawfirm/,,,,,True,,,,,,Law - General Practice,"Boston, MA",instagram,Boston law firms,
,Newton Law Firm,,,https://www.instagram.com/newtonlawfirm/,,,,,True,,,,,,Law - General Practice,"Newton, MA (to verify)",instagram,Newton law firms,
,Earley Law Group Injury Lawyers,,,,https://www.youtube.com/@earleylawgroupinjurylawyers,,,,False,,,,,,Law - Personal Injury,"Boston, MA",youtube,Personal injury law firms,
,Jeffrey Glassman Injury Lawyers,,,,https://www.youtube.com/@jeffreyglassmaninjurylawyers,,,,False,,,,,,Law - Personal Injury,"Boston, MA",youtube,Personal injury law firms,
,Simons Law Office,,,,https://www.youtube.com/@Not.Guilty,,,,False,,,,,,Law - Criminal Defense,"Boston, MA",youtube,Criminal defense law firms,
,"Contant Law, P.C.",,,,https://www.youtube.com/@contantlaw,,,,False,,,,,,Law - Criminal Defense,"Greater Boston, MA",youtube,Criminal defense law firms,
,FitzGerald Law Company,,,,https://www.youtube.com/@FitzGeraldLawCompanyBoston,,,,False,,,,,,Law - Immigration/Criminal,"Boston, MA",youtube,Immigration law firms,
,Wright Family Law Group,,,,https://www.youtube.com/@wrightfamilylawgroup,,,,False,,,,,,Law - Family,"Greater Boston, MA",youtube,Family law firms,
,Boston Family Law Firm,,,,https://www.youtube.com/@bostonfamilylawfirm,,,,False,,,,,,Law - Family,"Boston, MA",youtube,Family law firms,
,Sheff Law Offices Boston – Personal Injury Lawyers,,,,https://www.youtube.com/@shefflawofficesboston-pers5889,,,,False,,,,,,Law - Personal Injury,"Boston, MA",youtube,Personal injury law firms,
,"Bade Law Group, LLC",,,,https://www.youtube.com/@BadeLawGroup,,,,False,,,,,,Law - Immigration,"Boston, MA",youtube,Immigration law firms,
,Earley Law Group Injury Lawyers,,,,,,https://www.chrisearley.com/,,False,,,(617) 500-1861,,,Law - Personal Injury,"Boston, MA",google_maps,Personal injury law firms,
,Michael Kelly Injury Lawyers,,,,,,https://callkellycall4.com/,,False,,,(617) 340-8798,,,Law - Personal Injury,"Boston, MA",google_maps,Personal injury law firms,
,Jason Stone Injury Lawyers,,,,,,https://www.stoneinjurylawyers.com/,,False,,,(617) 404-9303,,,Law - Personal Injury,"Boston, MA",google_maps,Personal injury law firms,
,"Diller Law, LLP",,,,,,http://www.dillerlaw.com/,,False,,,(617) 523-7771,,,Law - Personal Injury,"Boston, MA",google_maps,Personal injury law firms,
,Parker Scheer LLP,,,,,,https://www.parkerscheer.com/,,False,,,(617) 886-0500,,,Law - Personal Injury,"Boston, MA",google_maps,Personal injury law firms,
,Altman & Altman LLP,,,,,,https://www.altmanllp.com/,,False,,,(617) 492-3000,,,Law - Personal Injury,"Cambridge, MA",google_maps,Personal injury law firms,
,Feinberg & Alban PC,,,,,,https://www.feinbergalban.com/,,False,,,(617) 232-5950,,,Law - Personal Injury,"Boston, MA",google_maps,Personal injury law firms,
,"Breakstone, White & Gluck",,,,,,https://www.bwglaw.com/,,False,,,(800) 379-1244,,,Law - Personal Injury,"Boston, MA",google_maps,Personal injury law firms,
,Simons Law Office,,,,,,http://www.jbsimonslaw.com/,,False,,,(781) 797-0555,,,Law - Criminal Defense,"Boston, MA",google_maps,Criminal defense law firms,
,Serpa Law Office,,,,,,https://serpalaw.com/,,False,,,(617) 936-0201,,,Law - Criminal Defense,"Boston, MA",google_maps,Criminal defense law firms,
,Yannetti Criminal Defense Law Firm,,,,,,https://www.davidyannetti.com/,,False,,,(617) 297-9213,,,Law - Criminal Defense,"Boston, MA",google_maps,Criminal defense law firms,
,Riccio Law,,,,,,https://anthonyricciolaw.com/,,False,,,(617) 404-8878,,,Law - Criminal Defense,"Quincy, MA",google_maps,Criminal defense law firms,
,"Fiorentino Legal, PC",,,,,,https://www.fiorentinolegal.com/,,False,,,(617) 990-2568,,,Law - Criminal Defense,"Quincy, MA",google_maps,Criminal defense law firms,
,Law Office of Patrick Donovan,,,,,,http://www.pdonovanlaw.com/,,False,,,(617) 479-1800,,,Law - Criminal Defense,"Quincy, MA",google_maps,Criminal defense law firms,
,FitzGerald Law Company,,,,,,https://www.fitzgeraldlawcompany.com/,,False,,,(617) 523-6320,,,Law - Immigration,"Boston, MA",google_maps,Immigration law firms,
,Moreno Law Immigration,,,,,,https://morenoimmigration.com/,,False,,,(857) 277-1067,,,Law - Immigration,"Boston, MA",google_maps,Immigration law firms,
,"Law Offices of Rachel L. Rado, LLC",,,,,,http://www.thebostonimmigrationlawyer.com/,,False,,,(617) 870-0306,,,Law - Immigration,"Boston, MA",google_maps,Immigration law firms,
,"Law Offices of Giselle M. Rodriguez, PLLC",,,,,,https://gmrodriguezlaw.com/,,False,,,(617) 410-3760,,,Law - Immigration,"Boston, MA",google_maps,Immigration law firms,
,"Cambridge Immigration Law, P.C.",,,,,,https://cambridgeimmigrationlaw.com/,,False,,,(617) 841-3861,,,Law - Immigration,"Cambridge, MA",google_maps,Immigration law firms,
,Romanovsky Law Offices,,,,,,http://www.romanovskylaw.com/,,False,,,(617) 787-0000,,,Law - Immigration,"Boston, MA",google_maps,Immigration law firms,
,Toland Law,,,,,,https://www.paultolandlaw.com/,,False,,,(857) 347-3701,,,Law - Immigration,"Boston, MA",google_maps,Immigration law firms,
,Law Office of Natalia Kolyada,,,,,,https://kolyadalaw.com/,,False,,,(617) 755-5678,,,Law - Immigration,"Boston, MA",google_maps,Immigration law firms,
,Law Office of Kevin Seaver,,,,,,https://seaverdcflawyer.com/,,False,,,(617) 263-2633,,,Law - Family,"Boston, MA",google_maps,Family law firms,
,Infinity Law Group,,,,,,https://www.infinlaw.com/,,False,,,(617) 652-5748,,,Law - Family,"Boston, MA",google_maps,Family law firms,
,"Turco Legal, P.C.",,,,,,https://turcolegal.com/,,False,,,(857) 371-8566,,,Law - Family,"Boston, MA",google_maps,Family law firms,
,The Law Office of Wyckoff Nissenbaum,,,,,,https://somervillelawoffice.com/,,False,,,(617) 410-6467,,,Law - Family,"Somerville, MA",google_maps,Family law firms,
,"Law Offices of Lisa A. Ruggieri, P.C.",,,,,,https://www.lisaruggieri.com/,,False,,,(781) 239-8984,,,Law - Family,"Wellesley, MA",google_maps,Family law firms,
,"Tempus Fugit Law, LLC",,,,,,https://tempusfugitlaw.com/,,False,,,(617) 752-2371,,,Law - General Practice,"Boston, MA",google_maps,Boston law firms,
,The Jacobs Law (Boston Business Lawyers),,,,,,https://www.thejacobslaw.com/,,False,,,(800) 652-4783,,,Law - Business/General,"Boston, MA",google_maps,Boston law firms,
,Schulze Law,,,,,,http://schulzelaw.com/,,False,,,(857) 300-5300,,,Law - General Practice,"Boston, MA",google_maps,Boston law firms,
,"Spada Law Group, LLC",,,,,,https://www.spadalawgroup.com/,,False,,,(617) 889-5000,,,Law - Personal Injury,"Chelsea, MA",google_maps,Personal injury law firms,
