lead_id,name,headline,bio,instagram_url,youtube_url,google_maps_url,website,follower_count,is_business_account,rating,review_count,phone,company_name,company_size,company_industry,location,source,discovered_via_keyword,created_at
,Tiffany | Atlanta Commercial Realtor,CRE brokerage,,https://www.instagram.com/atlantacommercialrealty/,,,,,False,,,,,,Commercial Real Estate Brokerage,"Atlanta, GA",instagram,,
,Austen Wiley,CRE brokerage,,https://www.instagram.com/atlantacommercialrealestate/,,,,,False,,,,,,Commercial Real Estate Brokerage,"Atlanta, GA",instagram,,
,Meghan Lammers Palmer,CRE brokerage,,https://www.instagram.com/atlantacommercialrealtor/,,,,,False,,,,,,Commercial Real Estate Brokerage,"Atlanta, GA",instagram,,
,Atlanta Commercial Real Estate Expert (ShadiaSellsATL),CRE broker,,https://www.instagram.com/shadiasellsatl/,,,,,False,,,,,,Commercial Real Estate Brokerage,"Atlanta, GA",instagram,,
,Atlanta Commercial Real Estate,CRE hub/updates,,https://www.instagram.com/atlanta_commercial_real_estate/,,,,,False,,,,,,Commercial Real Estate Media/Community,"Atlanta, GA",instagram,,
,Atlanta Commercial Real Estate (community),CRE hub/updates,,https://www.instagram.com/atlantacommercialrealestate_/,,,,,False,,,,,,Commercial Real Estate Media/Community,"Atlanta, GA",instagram,,
,CRAVE Investor,ATLANTA REAL ESTATE DEVELOPERS,,https://www.instagram.com/crave.investor/,,,,,False,,,,,,Real Estate Developer/Investor,"Atlanta, GA",instagram,,
,Atlanta Property Managers,Property management,,https://www.instagram.com/atlantapropertymanagers/,,,,,False,,,,,,Property Management,"Atlanta, GA",instagram,,
,One Source Affiliates,Atlanta Property Management | Section 8 Expert,,https://www.instagram.com/onesourceaffiliates/,,,,,False,,,,,,Property Management,"Atlanta, GA",instagram,,
,Southeast Commercial,CRE brokerage/investment,,https://www.instagram.com/southeastcommercialre/,,,,,False,,,,,,Commercial Real Estate Brokerage/Investment,Southeast US,instagram,,
,Smith Jordan Realty,CRE brokerage,,https://www.instagram.com/charlottecommercialrealestate/,,,,,False,,,,,,Commercial Real Estate Brokerage,"Charlotte, NC",instagram,,
,Phillip J. Harrison,CRE brokerage,,https://www.instagram.com/nashvillecommercialrealestate/,,,,,False,,,,,,Commercial Real Estate Brokerage,"Nashville, TN",instagram,,
,Priscilla Ortega,Miami Commercial Real Estate Broker,,https://www.instagram.com/priscillarealestate/,,,,,False,,,,,,Commercial Real Estate Brokerage,"Miami, FL",instagram,,
,Oscar Puig,Miami Commercial Real Estate Broker,,https://www.instagram.com/miamicommercialrealestate/,,,,,False,,,,,,Commercial Real Estate Brokerage,"Miami, FL",instagram,,
,Miami Commercial Real Estate (community),CRE hub/updates,,https://www.instagram.com/miami_cre/,,,,,False,,,,,,Commercial Real Estate Media/Community,"Miami, FL",instagram,,
,Matthews CRE,National brokerage - investment sales/capital markets content,,,https://www.youtube.com/@matthews_cre,,,,False,,,,,,Commercial Real Estate Brokerage,United States,youtube,,
,Smith Commercial Property Group,Brokerage (Miami),,,https://www.youtube.com/watch?v=qCUgRkSCE10,,,,False,,,,,,Commercial Real Estate Brokerage,"Miami, FL",youtube,,
,Tyler Cauble (The Cauble Group),Developer/broker (Nashville),,,https://www.youtube.com/@TylerCauble,,,,False,,,,,,Commercial Real Estate Developer/Brokerage,"Nashville, TN",youtube,,
,Commercial Property Executive,Industry media with exec guests,,,https://www.youtube.com/@CommercialPropertyExecutive,,,,False,,,,,,Commercial Real Estate Media,United States,youtube,,
,Atlanta Commercial Real Estate (YouTube),Local CRE channel,,,https://www.youtube.com/@AtlantaCommercialRealEstate,,,,False,,,,,,Commercial Real Estate Media/Community,"Atlanta, GA",youtube,,
,DiscoveringCRE,Interviews with investment sales and institutional pros,,,https://www.youtube.com/@DiscoveringCRE,,,,False,,,,,,Commercial Real Estate Media/Interviews,United States,youtube,,
,No Cap by CRE Daily,CRE operators/investors podcast,,,https://www.youtube.com/@NoCapCREDaily,,,,False,,,,,,Commercial Real Estate Media/Podcast,United States,youtube,,
,Ronald Rohde Law,CRE legal/transaction insights,,,https://www.youtube.com/@RonaldRohdeLaw,,,,False,,,,,,Real Estate Law/Advisory,United States,youtube,,
,Commercial Real Estate Now,CRE trends and capital markets,,,https://www.youtube.com/@CommercialRealEstateNow,,,,False,,,,,,Commercial Real Estate Media,United States,youtube,,
,Atlanta Commercial Board of REALTORS,Trade association channel,,,https://www.youtube.com/@Atlcbr,,,,False,,,,,,Trade Association (CRE),"Atlanta, GA",youtube,,
,Atlanta Leasing & Investment,Boutique CRE brokerage,,,,,http://www.atlantaleasing.com/,,False,,,(404) 348-4448,,,Commercial Real Estate Brokerage,"Atlanta, GA",google_maps,,
