category,niche,size,lead_count,instagram_count,youtube_count,google_maps_count,execution_time,success,error
ai_automation,real_estate,starter,14,4,6,4,39.09,True,
ai_automation,legal,experienced,0,0,0,0,23.17,False,"Input is not valid: Field input.search must match pattern ""^[^!?.,:;\-+=*&%$#@/\~^|<>()[\]{}""'`]+(?:,[^!?.,:;\-+=*&%$#@/\~^|<>()[\]{}""'`]+)*$"""
ai_automation,healthcare,scaling,20,10,4,6,39.6,True,
web_development,restaurants,starter,21,11,5,5,42.25,True,
web_development,fitness,experienced,30,15,5,10,35.12,True,
web_development,hospitality,scaling,51,25,14,12,45.99,True,
personal_training,corporate_wellness,starter,0,0,0,0,2.09,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-toBZY5v53BcAjIAyeEXKcRPn on tokens per min (TPM): Limit 30000, Used 30000, Requested 550. Please try again in 1.1s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}"
personal_training,remote_workers,experienced,0,0,0,0,2.5,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-toBZY5v53BcAjIAyeEXKcRPn on tokens per min (TPM): Limit 30000, Used 29934, Requested 566. Please try again in 1s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}"
personal_training,youth_athletics,scaling,0,0,0,0,30.25,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-toBZY5v53BcAjIAyeEXKcRPn on tokens per min (TPM): Limit 30000, Used 29899, Requested 602. Please try again in 1.002s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}"
interior_design,small_business,starter,0,0,0,0,30.32,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-toBZY5v53BcAjIAyeEXKcRPn on tokens per min (TPM): Limit 30000, Used 22590, Requested 7917. Please try again in 1.013s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}"
interior_design,residential,experienced,15,7,5,3,38.69,True,
interior_design,commercial_real_estate,scaling,22,12,5,5,36.82,True,
photography,e_commerce,starter,0,0,0,0,22.5,False,"Input is not valid: Field input.search must match pattern ""^[^!?.,:;\-+=*&%$#@/\~^|<>()[\]{}""'`]+(?:,[^!?.,:;\-+=*&%$#@/\~^|<>()[\]{}""'`]+)*$"""
photography,professional_services,experienced,24,14,5,5,42.04,True,
photography,real_estate,scaling,14,1,7,6,42.06,True,
