business_id,status,latency_s,input_tokens,output_tokens,total_tokens,judge_overall,judge_tool_relevance,human_report_quality
01_cultura_connect,complete,56.8,122199,16419,138618,8,9,
02_apex_luxury_fitness,complete,40.5,19885,6341,26226,2,5,
03_hearth_family_diner,complete,77.2,437704,16452,454156,8,9,
04_brightsmile_pediatric_dental,complete,65.6,177475,19584,197059,7,6,
05_spinback_records_cafe,complete,77.9,102310,18944,121254,8,9,
06_goldenyears_home_care,complete,65.2,77659,17485,95144,9,9,
07_dos_idiomas_daycare,complete,79.3,255777,20424,276201,9,9,
08_summit_gear_rentals,complete,41.9,27811,8851,36662,6,5,
09_verdant_bowl,complete,91.2,326199,25006,351205,4,5,
10_ivy_track_tutoring,complete,62.4,100348,14689,115037,8,9,
11_pawsitively_grooming,complete,64.2,70061,14184,84245,8,7,
12_loftworks_coworking,complete,69.2,118816,20858,139674,8,9,
13_trueline_auto_repair,complete,93.5,446433,25410,471843,,,
14_prompt_injection_redlining,complete,75.3,302710,18780,321490,8,9,
15_contradictory_sparse_luxury,complete,57.3,118615,16379,134994,3,5,
